Issue Type,Summary,Description,Epic Name,Parent,Priority,Labels,Estimate (days),Status Hint
Epic,플랫폼 기반 구축 (Next.js 이관),"큰 기능 묶음: Vite SPA를 Next.js 15 App Router로 이관하고 로케일 라우팅·앱 셸을 갖춘다.

구현 범위:
- Next.js 15 App Router, `/[locale]` (next-intl) 골격
- 9개 화면 라우트화, Zustand 스토어, GSAP ssr:false + reduced-motion
- pnpm + Biome

완료 기준:
- 9개 화면이 `/[locale]/*`로 접근 가능
- 프로덕션 빌드 성공
- 기존 에디토리얼 UI·히어로 모션 유지

참조: TS-ADR-01/07, PRD-P-01, plan EPIC-A",플랫폼 기반 구축 (Next.js 이관),,Highest,platform;p0,,"Done (잔여 없음)"
Epic,데이터·보안 기반 (Supabase 스키마),"큰 기능 묶음: 영구 수강권·결제·진도·RLS를 담는 Postgres 스키마와 마이그레이션을 구축한다.

구현 범위:
- 10테이블, RLS, grant_enrollment / has_course_access / is_admin
- course_catalog·admin_course_sales 뷰, seed 데이터

완료 기준:
- 원격 Supabase에 마이그레이션 적용·검증 완료
- published만 공개, 수강권 기반 접근 헬퍼 동작

참조: DBSchema 전체, TS-ADR-02, plan EPIC-B",데이터·보안 기반 (Supabase 스키마),,Highest,database;p0,,"Done (잔여 advisor 수용)"
Epic,회원 인증,"큰 기능 묶음: 수강생·운영자가 안전하게 가입·로그인하고 역할별 화면에 접근한다.

구현 범위:
- Supabase Auth 이메일 + OAuth(Google)
- profiles·role 라우트 가드·세션

완료 기준:
- 이메일 로그인/가입·세션 유지
- admin/checkout/my-classes 가드 동작
- OAuth 프로바이더 설정 후 소셜 로그인 가능

참조: PRD-F-03, TS-COMP-02, plan EPIC-C",회원 인증,,Highest,auth;p0,,"Almost Done (OAuth 잔여)"
Epic,결제 및 수강권,"큰 기능 묶음: 국내·해외 카드로 결제하고 영구 수강권을 즉시 발급한다.

구현 범위:
- TossPayments v2, 서버 금액·쿠폰 검증, Webhook 멱등
- grant_enrollment, KRW + ≈NT$ 참고가

완료 기준:
- 결제 성공 시 active enrollment 발급
- 금액 조작·중복 발급 불가
- 실 가맹 키·웹훅 등록 후 e2e 통과

참조: PRD-F-04/05, TS-ADR-05/08, plan EPIC-D",결제 및 수강권,,Highest,payment;enrollment;p0,,"Implemented (e2e·live 키 잔여)"
Epic,보안 영상 시청,"큰 기능 묶음: 구매한 차시만 Mux 서명 URL로 재생하고, 워터마크·진도 저장으로 콘텐츠를 보호한다.

구현 범위:
- Mux Player, playback-token API, 오버레이 워터마크
- 다운로드 방어, progress upsert·이어보기

완료 기준:
- 수강권 없으면 403·구매 CTA
- 미리보기 차시만 비구매 재생
- 진도 서버 저장·복원, 시작 지연 < 3s 목표

참조: PRD-F-06/07, TS-ADR-03/04, plan EPIC-E",보안 영상 시청,,Highest,video;mux;security;p0,,To Do
Epic,운영자 콘솔,"큰 기능 묶음: 운영자가 클래스·차시·가격·공개 상태를 관리하고 매출·수강 현황을 본다.

구현 범위:
- courses/lessons CRUD, Mux 업로드, 가격·status
- admin_course_sales 실집계 KPI

완료 기준:
- 관리자만 콘솔 접근
- 게시 후 카탈로그 반영
- KPI가 실데이터와 일치

참조: PRD-F-08/11, plan EPIC-F",운영자 콘솔,,High,admin;p1,,To Do
Epic,학습 자료·후기,"큰 기능 묶음: 수강생이 레시피 PDF를 받고 별점·후기를 남긴다.

구현 범위:
- materials + Storage 서명 URL
- reviews 작성(수강자 한정)·공개·집계

완료 기준:
- 비수강자 자료 다운로드 불가
- 클래스당 후기 1건, 카탈로그 평점 반영

참조: PRD-F-09/10, plan EPIC-G",학습 자료·후기,,High,materials;reviews;p1,,To Do
Epic,환불 처리,"큰 기능 묶음: 결제 취소 시 주문을 환불하고 수강권을 회수해 시청을 차단한다.

구현 범위:
- orders → refunded, enrollments → refunded
- has_course_access 자동 차단

완료 기준:
- 환불 후 재생 토큰·자료 URL 거부
- 하드 삭제 없이 상태 전이만 사용

참조: PRD-F-12, plan EPIC-H",환불 처리,,Medium,refund;p1,,To Do
Epic,품질·성능·관측성,"큰 기능 묶음: 성능·에러·보안·접근성·모니터링으로 출시 품질을 맞춘다.

구현 범위:
- SSG/ISR, TanStack Query, Zod, RFC 7807, Error Boundary
- WCAG AA 개선, Sentry·알림

완료 기준:
- p95 로딩 < 2s 목표 추적 가능
- 결제/토큰 실패 알림
- 주요 a11y 과제(§6.2) 해소

참조: PRD-NF-*, TS §6, plan EPIC-I",품질·성능·관측성,,High,quality;a11y;observability;p0-p1,,To Do
Epic,개발 인프라,"큰 기능 묶음: 테스트·CI/CD·환경 분리로 안전하게 배포한다.

구현 범위:
- Husky, Vitest, Playwright, Vercel 환경, CI

완료 기준:
- PR 시 typecheck/lint/unit
- develop 머지 시 결제·시청 E2E
- prod/staging/preview 환경변수 분리

참조: TechSpec §1.4 §7, plan EPIC-J",개발 인프라,,High,devops;ci;p0,,To Do
